Protein Name,UniProt Accession,Accession (without isoform number),Gene Name,BPA ,P value,E2,P value,PCB,P value,Pht,P value,EntrezGene
mRNA-decapping enzyme 1A  ,sp|Q91YD3|DCP1A_MOUSE,Q91YD3,Dcp1a,-0.23,0.288,-0.21,0.459,-0.54,0.185,-0.62,0.952,75901
Mth938 domain-containing protein  ,sp|Q8R0P4|AAMDC_MOUSE,Q8R0P4,Aamdc,0.15,0.432,-0.06,0.782,0.2,0.409,0.31,0.135,66273
MTSS1-like protein  ,sp|Q6P9S0|MTSSL_MOUSE,Q6P9S0,Mtss1l,-0.07,0.661,-0.43,0.398,0.72,0.395,0.25,0.193,244654
Mucin-15  ,sp|Q8C6Z1|MUC15_MOUSE,Q8C6Z1,Muc15,-0.29,0.296,-0.17,0.247,-0.02,0.754,0.04,0.677,269328
Multifunctional protein ADE2  ,sp|Q9DCL9|PUR6_MOUSE,Q9DCL9,Paics,0,0.992,0.24,0.818,0.16,0.079,-0.12,0.133,67054
Multiple inositol polyphosphate phosphatase 1  ,sp|Q9Z2L6|MINP1_MOUSE,Q9Z2L6,Minpp1,0.66,0.039,1.41,0.001,0.36,0.068,0.05,0.639,17330
Multivesicular body subunit 12A  ,sp|Q78HU3|F125A_MOUSE,Q78HU3,Mvb12a,0.01,0.959,-0.06,0.519,0.11,0.798,0.13,0.663,73711
Murinoglobulin-1  ,sp|P28665|MUG1_MOUSE,P28665,Mug1,0.2,0.506,0.51,0.008,0.62,0.409,0.63,0.811,17836
Muscleblind-like protein 1  ,sp|Q9JKP5|MBNL1_MOUSE,Q9JKP5,Mbnl1,0.22,0.341,-0.15,0.319,0.14,0.94,0.57,0.296,56758
Muscleblind-like protein 2  ,sp|Q8C181|MBNL2_MOUSE,Q8C181,Mbnl2,-0.47,0.334,-0.73,0.008,-0.4,0.444,0.39,0.649,105559
Muscleblind-like protein 3  ,sp|Q8R003|MBNL3_MOUSE,Q8R003,Mbnl3,0.12,0.545,-0.01,0.799,0.17,0.88,0.44,0.677,171170
Myb-binding protein 1A  ,sp|Q7TPV4|MBB1A_MOUSE,Q7TPV4,Mybbp1a,0.09,0.619,0.18,0.348,-0.12,0.977,-0.6,0.018,18432
Myelin expression factor 2  ,sp|Q8C854|MYEF2_MOUSE,Q8C854,Myef2,0.42,0.05,-0.05,0.59,0.1,0.896,0.39,0.47,17876
Myelin protein P0  ,sp|P27573|MYP0_MOUSE,P27573,Mpz,-0.47,0.652,-0.17,0.657,-0.73,0.461,0.14,0.314,17528
Myeloid differentiation primary response protein MyD88  ,sp|P22366|MYD88_MOUSE,P22366,Myd88,-0.03,0.876,-0.31,0.558,0.03,0.201,0.03,0.693,17874
Myeloid leukemia factor 2  ,sp|Q99KX1|MLF2_MOUSE,Q99KX1,Mlf2,0.5,0.444,0.67,0.159,-0.04,0.478,0.47,0.471,30853
Myeloid-associated differentiation marker  ,sp|O35682|MYADM_MOUSE,O35682,Myadm,-0.14,0.646,0.24,0.143,-0.64,0.06,-0.49,0.179,50918
Myocyte-specific enhancer factor 2D  ,sp|Q63943|MEF2D_MOUSE,Q63943,Mef2d,0.08,0.773,0.02,0.854,-0.04,0.54,0.07,0.877,17261
Myoferlin  ,sp|Q69ZN7|MYOF_MOUSE,Q69ZN7,Myof,-0.3,0.099,-0.06,0.996,0.21,0.89,0.35,0.727,226101
"Myosin light chain 1/3, skeletal muscle isoform  ",sp|P05977|MYL1_MOUSE,P05977,Myl1,1.2,0.273,1.56,0.222,0.77,0.376,0.13,0.883,17901
Myosin regulatory light chain 12B  ,sp|Q3THE2|ML12B_MOUSE,Q3THE2,Myl12b,0.12,0.615,0,0.879,-0.07,0.89,-0.24,0.401,67938
"Myosin regulatory light chain 2, skeletal muscle isoform  ",sp|P97457|MLRS_MOUSE,P97457,Mylpf,0.77,0.299,0.92,0.229,0.62,0.617,0.55,0.947,17907
Myosin regulatory light polypeptide 9  ,sp|Q9CQ19|MYL9_MOUSE,Q9CQ19,Myl9,-0.17,0.323,-0.08,0.45,-0.21,0.528,-0.64,0.689,98932
Myosin-1  ,sp|Q5SX40|MYH1_MOUSE,Q5SX40,Myh1,1.03,0.323,1.48,0.187,0.9,0.434,0.31,0.935,17879
Myosin-10  ,sp|Q61879|MYH10_MOUSE,Q61879,Myh10,0.28,0.142,0.18,0.338,0.58,0.052,0.42,0.793,77579
Myosin-14  ,sp|Q6URW6|MYH14_MOUSE,Q6URW6,Myh14,-0.14,0.364,0.31,0.072,-0.07,0.578,-0.14,0.316,71960
Myosin-3  ,sp|P13541|MYH3_MOUSE,P13541,Myh3,0.74,0.324,0.31,0.691,0.75,0.496,0.32,0.903,17883
Myosin-4  ,sp|Q5SX39|MYH4_MOUSE,Q5SX39,Myh4,1.53,0.261,2.13,0.187,1.43,0.398,0.84,0.913,17884
Myosin-7  ,sp|Q91Z83|MYH7_MOUSE,Q91Z83,Myh7,0.95,0.211,1.1,0.304,0.75,0.424,0.07,0.842,140781
Myosin-9  ,sp|Q8VDD5|MYH9_MOUSE,Q8VDD5,Myh9,-0.01,0.924,-0.08,0.496,0.06,0.853,0.17,0.996,17886
Myotrophin  ,sp|P62774|MTPN_MOUSE,P62774,Mtpn,-0.07,0.829,-0.38,0.296,0.21,0.852,0.4,0.913,14489
Myotubularin  ,sp|Q9Z2C5|MTM1_MOUSE,Q9Z2C5,Mtm1,-0.08,0.759,0.01,0.987,-0.44,0.429,-0.51,0.576,17772
Myotubularin-related protein 12  ,sp|Q80TA6|MTMRC_MOUSE,Q80TA6,Mtmr12,0.46,0.086,0.58,0.08,-0.51,0.218,-0.14,0.095,268783
Myotubularin-related protein 14  ,sp|Q8VEL2|MTMRE_MOUSE,Q8VEL2,Mtmr14,0.05,0.876,-0.21,0.132,0.3,0.983,0.27,0.923,97287
Myotubularin-related protein 5  ,sp|Q6ZPE2|MTMR5_MOUSE,Q6ZPE2,Sbf1,-0.17,0.329,0.36,0.95,-0.02,0.452,0.1,0.931,77980
Myotubularin-related protein 6  ,sp|Q8VE11|MTMR6_MOUSE,Q8VE11,Mtmr6,0.32,0.343,0.02,0.428,0.52,0.333,0.51,0.864,219135
Myotubularin-related protein 9  ,sp|Q9Z2D0|MTMR9_MOUSE,Q9Z2D0,Mtmr9,0.46,0.153,0.45,0.147,0.21,0.227,-0.11,0.75,210376
Myristoylated alanine-rich C-kinase substrate  ,sp|P26645|MARCS_MOUSE,P26645,Marcks,-0.23,0.209,-0.73,0.079,-0.43,0.881,-0.97,0.673,17118
N(6)-adenine-specific DNA methyltransferase 2  ,sp|Q9CY45|N6MT2_MOUSE,Q9CY45,N6amt2,0.65,0.301,0.54,0.392,0.48,0.336,1,0.098,68043
"N(G),N(G)-dimethylarginine dimethylaminohydrolase 1  ",sp|Q9CWS0|DDAH1_MOUSE,Q9CWS0,Ddah1,0.16,0.351,-0.05,0.615,0.1,0.732,0.27,0.481,69219
"N(G),N(G)-dimethylarginine dimethylaminohydrolase 2  ",sp|Q99LD8|DDAH2_MOUSE,Q99LD8,Ddah2,0.04,0.833,-0.88,0.004,-0.06,0.361,0.49,0.202,51793
N6-adenosine-methyltransferase 70 kDa subunit  ,sp|Q8C3P7|MTA70_MOUSE,Q8C3P7,Mettl3,0,0.993,0.04,0.847,0.06,0.909,0.16,0.97,56335
Na(+)/H(+) exchange regulatory cofactor NHE-RF1  ,sp|P70441|NHRF1_MOUSE,P70441,Slc9a3r1,-0.41,0.063,-0.42,0.064,0.18,0.799,0.32,0.636,26941
Na(+)/H(+) exchange regulatory cofactor NHE-RF2  ,sp|Q9JHL1|NHRF2_MOUSE,Q9JHL1,Slc9a3r2,0.51,0.043,0.29,0.134,0.7,0.211,1.14,0.198,65962
N-acetyl-D-glucosamine kinase  ,sp|Q9QZ08|NAGK_MOUSE,Q9QZ08,Nagk,0.2,0.321,0.37,0.918,0.04,0.744,0.09,0.774,56174
N-acetylgalactosamine kinase  ,sp|Q68FH4|GALK2_MOUSE,Q68FH4,Galk2,0.15,0.394,-0.29,0.176,0.18,0.624,0.24,0.47,69976
N-acetylgalactosamine-6-sulfatase  ,sp|Q571E4|GALNS_MOUSE,Q571E4,Galns,-0.5,0.324,-0.2,0.158,-0.84,0.179,-0.44,0.532,50917
N-acetylglucosamine-6-sulfatase  ,sp|Q8BFR4|GNS_MOUSE,Q8BFR4,Gns,0.04,0.827,0.24,0.489,-0.28,0.773,-0.26,0.622,75612
N-acetyltransferase 10  ,sp|Q8K224|NAT10_MOUSE,Q8K224,Nat10,0.19,0.451,0.3,0.062,-0.08,0.411,-0.48,0.565,98956
N-acylneuraminate cytidylyltransferase  ,sp|Q99KK2|NEUA_MOUSE,Q99KK2,Cmas,-0.07,0.726,-0.49,0.29,-0.42,0.54,-0.52,0.563,12764
N-acylneuraminate-9-phosphatase  ,sp|Q9CPT3|NANP_MOUSE,Q9CPT3,Nanp,0.76,0.123,0.35,0.051,0.56,0.086,-0.72,0.523,67311
NAD kinase  ,sp|P58058|NADK_MOUSE,P58058,Nadk,-0.09,0.71,-0.14,0.674,-0.31,0.672,-0.4,0.479,192185
NAD(P)H dehydrogenase [quinone] 1  ,sp|Q64669|NQO1_MOUSE,Q64669,Nqo1,-0.52,0.093,-1.32,0.021,-0.75,0.063,-0.5,0.199,18104
NAD(P)H-hydrate epimerase  ,sp|Q8K4Z3|NNRE_MOUSE,Q8K4Z3,Apoa1bp,0.24,0.333,0.09,0.401,0.17,0.639,0.45,0.128,246703
"NAD-dependent malic enzyme, mitochondrial  ",sp|Q99KE1|MAOM_MOUSE,Q99KE1,Me2,0.88,0.057,0.88,0.133,0.33,0.171,-0.21,0.69,107029
"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial  ",sp|Q99LC3|NDUAA_MOUSE,Q99LC3,Ndufa10,0.59,0.444,0.44,0.184,0.65,0.506,0.69,0.897,67273
NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 12  ,sp|Q7TMF3|NDUAC_MOUSE,Q7TMF3,Ndufa12,0.32,0.191,-0.13,0.806,0.27,0.973,0.6,0.492,66414
NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 13  ,sp|Q9ERS2|NDUAD_MOUSE,Q9ERS2,Ndufa13,0.25,0.542,0.48,0.564,0.44,0.291,0.2,0.208,67184
NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 2  ,sp|Q9CQ75|NDUA2_MOUSE,Q9CQ75,Ndufa2,0.11,0.729,0.06,0.553,0.42,0.742,0.58,0.711,17991
NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 4  ,sp|Q62425|NDUA4_MOUSE,Q62425,Ndufa4,0.14,0.817,0.11,0.528,0.18,0.136,-0.35,0.553,17992
NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 5  ,sp|Q9CPP6|NDUA5_MOUSE,Q9CPP6,Ndufa5,-0.28,0.426,-0.27,0.135,0.04,0.823,-0.04,0.863,68202
NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 6  ,sp|Q9CQZ5|NDUA6_MOUSE,Q9CQZ5,Ndufa6,0.16,0.712,0.29,0.3,0.26,0.914,0.7,0.905,67130
NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 7  ,sp|Q9Z1P6|NDUA7_MOUSE,Q9Z1P6,Ndufa7,0.07,0.763,-0.17,0.562,0.39,0.947,0.76,0.222,66416
NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 8  ,sp|Q9DCJ5|NDUA8_MOUSE,Q9DCJ5,Ndufa8,-0.37,0.235,-0.04,0.875,-0.38,0.153,-0.17,0.55,68375
"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 9, mitochondrial  ",sp|Q9DC69|NDUA9_MOUSE,Q9DC69,Ndufa9,0.28,0.255,0.84,0.017,-0.01,0.124,-0.33,0.375,66108
NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 10  ,sp|Q9DCS9|NDUBA_MOUSE,Q9DCS9,Ndufb10,0.04,0.871,-0.02,0.908,0.17,0.015,-0.73,0.518,68342
NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 7  ,sp|Q9CR61|NDUB7_MOUSE,Q9CR61,Ndufb7,-0.9,0.503,-0.74,0.516,1.31,0.713,2.29,0.919,66916
"NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial  ",sp|Q91YT0|NDUV1_MOUSE,Q91YT0,Ndufv1,0.02,0.954,-0.16,0.982,0.55,0.216,0.76,0.104,17995
"NADH dehydrogenase [ubiquinone] flavoprotein 2, mitochondrial  ",sp|Q9D6J6|NDUV2_MOUSE,Q9D6J6,Ndufv2,0.15,0.742,-0.06,0.875,0.39,0.133,0.45,0.145,72900
"NADH dehydrogenase [ubiquinone] iron-sulfur protein 2, mitochondrial  ",sp|Q91WD5|NDUS2_MOUSE,Q91WD5,Ndufs2,0.25,0.665,0.59,0.163,0.37,0.345,0.11,0.649,226646
"NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial  ",sp|Q9DCT2|NDUS3_MOUSE,Q9DCT2,Ndufs3,0.02,0.957,-0.04,0.363,0.38,0.705,0.65,0.354,68349
"NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial  ",sp|Q9CXZ1|NDUS4_MOUSE,Q9CXZ1,Ndufs4,0,0.996,-0.48,0.336,0.67,0.468,0.85,0.614,17993
"NADH dehydrogenase [ubiquinone] iron-sulfur protein 6, mitochondrial  ",sp|P52503|NDUS6_MOUSE,P52503,Ndufs6,-0.12,0.711,-0.39,0.151,0.08,0.384,0.5,0.926,407785
"NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial  ",sp|Q9DC70|NDUS7_MOUSE,Q9DC70,Ndufs7,0.38,0.347,0.38,0.037,0.16,0.652,-0.06,0.364,75406
"NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial  ",sp|Q8K3J1|NDUS8_MOUSE,Q8K3J1,Ndufs8,0.23,0.399,-0.1,0.739,0.4,0.186,0.46,0.164,225887
"NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial  ",sp|Q91VD9|NDUS1_MOUSE,Q91VD9,Ndufs1,0.24,0.591,-0.16,0.55,0.08,0.824,0.08,0.633,227197
NADP-dependent malic enzyme  ,sp|P06801|MAOX_MOUSE,P06801,Me1,-0.46,0.06,-0.71,0.066,-0.92,0.21,-1.23,0.459,17436
N-alpha-acetyltransferase 10  ,sp|Q9QY36|NAA10_MOUSE,Q9QY36,Naa10,0.22,0.346,0.22,0.321,0.49,0.109,0.46,0.205,56292
N-alpha-acetyltransferase 20  ,sp|P61600|NAA20_MOUSE,P61600,Naa20,0.06,0.778,0.02,0.656,0.29,0.857,0.53,0.821,67877
"N-alpha-acetyltransferase 25, NatB auxiliary subunit  ",sp|Q8BWZ3|NAA25_MOUSE,Q8BWZ3,Naa25,0.18,0.384,0.07,0.773,-0.15,0.935,-0.29,0.781,231713
N-alpha-acetyltransferase 30  ,sp|Q8CES0|NAA30_MOUSE,Q8CES0,Naa30,0.84,0.013,0.49,0.005,0.5,0.202,0.94,0.139,70646
"N-alpha-acetyltransferase 35, NatC auxiliary subunit  ",sp|Q6PHQ8|NAA35_MOUSE,Q6PHQ8,Naa35,-0.43,0.047,-0.11,0.684,-0.46,0.054,-0.32,0.027,78689
"N-alpha-acetyltransferase 38, NatC auxiliary subunit  ",sp|Q6ZWM4|NAA38_MOUSE,Q6ZWM4,Lsm8,-0.03,0.891,-0.01,0.933,0.09,0.354,-0.08,0.949,76522
N-alpha-acetyltransferase 40  ,sp|Q8VE10|NAA40_MOUSE,Q8VE10,Naa40,0.4,0.154,0.34,0.045,0.51,0.449,0.44,0.849,70999
Nardilysin  ,sp|Q8BHG1|NRDC_MOUSE,Q8BHG1,Nrd1,0.01,0.966,0.03,0.911,-0.34,0.795,-0.66,0.465,230598
Nascent polypeptide-associated complex subunit alpha  ,sp|Q60817|NACA_MOUSE,Q60817,Naca,-0.19,0.502,0.18,0.552,-0.47,0.601,-0.98,0.048,17938
Nck-associated protein 1  ,sp|P28660|NCKP1_MOUSE,P28660,Nckap1,-0.05,0.769,-0.03,0.72,0.07,0.921,0.01,0.766,50884
NEDD8  ,sp|P29595|NEDD8_MOUSE,P29595,Nedd8,0.45,0.264,-0.18,0.851,0.63,0.488,0.86,0.564,18002
NEDD8 ultimate buster 1  ,sp|P54729|NUB1_MOUSE,P54729,Nub1,0.24,0.173,0.07,0.897,0.66,0.01,0.48,0.174,53312
NEDD8-activating enzyme E1 catalytic subunit  ,sp|Q8C878|UBA3_MOUSE,Q8C878,Uba3,0.08,0.65,0.04,0.621,0.2,0.815,0.2,0.668,22200
NEDD8-activating enzyme E1 regulatory subunit  ,sp|Q8VBW6|ULA1_MOUSE,Q8VBW6,Nae1,0.44,0.104,0.22,0.116,0.32,0.088,0.35,0.156,234664
NEDD8-conjugating enzyme Ubc12  ,sp|P61082|UBC12_MOUSE,P61082,Ube2m,0.1,0.668,0.1,0.809,-0.25,0.881,-0.57,0.644,22192
NEDD8-conjugating enzyme UBE2F  ,sp|Q9CY34|UB2FA_MOUSE,Q9CY34,Ube2f,0.36,0.244,0.22,0.335,0.23,0.586,0.85,0.059,67921
Negative elongation factor A  ,sp|Q8BG30|NELFA_MOUSE,Q8BG30,Nelfa,-0.41,0.13,-0.35,0.2,0.5,0.171,0.38,0.639,24116
Negative elongation factor B  ,sp|Q8C4Y3|NELFB_MOUSE,Q8C4Y3,Nelfb,0.32,0.211,0.14,0.637,0.69,0.054,0.64,0.581,58202
Negative elongation factor D  ,sp|Q922L6|NELFD_MOUSE,Q922L6,Nelfcd,0.4,0.243,0.69,0.045,-0.07,0.715,0.3,0.238,57314
Nephronectin  ,sp|Q91V88|NPNT_MOUSE,Q91V88,Npnt,0.3,0.116,0.01,0.559,0.14,0.535,0.12,0.666,114249
Netrin-1  ,sp|O09118|NET1_MOUSE,O09118,Ntn1,0.02,0.934,-0.02,0.517,0.09,0.994,0.36,0.246,18208
Neudesin  ,sp|Q9CQ45|NENF_MOUSE,Q9CQ45,Nenf,-0.24,0.325,-0.24,0.3,0.07,0.705,0.23,0.323,66208
Neurabin-2  ,sp|Q6R891|NEB2_MOUSE,Q6R891,Ppp1r9b,0.75,0.205,0.92,0.488,1.02,0.105,1.13,0.109,217124
Neural Wiskott-Aldrich syndrome protein  ,sp|Q91YD9|WASL_MOUSE,Q91YD9,Wasl,0.16,0.372,0.13,0.645,0.14,0.55,0.4,0.056,73178
Neurobeachin  ,sp|Q9EPN1|NBEA_MOUSE,Q9EPN1,Nbea,-0.04,0.856,-0.26,0.463,-0.57,0.219,-0.33,0.751,26422
Neurocalcin-delta  ,sp|Q91X97|NCALD_MOUSE,Q91X97,Ncald,-0.05,0.793,-0.21,0.267,-0.33,0.357,-0.27,0.966,52589
Neurofibromin  ,sp|Q04690|NF1_MOUSE,Q04690,Nf1,0.9,0.192,0.52,0.532,1.12,0.19,1.36,0.352,18015
Neurogenic locus notch homolog protein 1  ,sp|Q01705|NOTC1_MOUSE,Q01705,Notch1,0.57,0.032,0.41,0.078,0.59,0.196,1.06,0.146,18128
"Neurolysin, mitochondrial  ",sp|Q91YP2|NEUL_MOUSE,Q91YP2,Nln,-0.26,0.234,-0.11,0.62,-0.05,0.641,0.04,0.996,75805
Neuronal proto-oncogene tyrosine-protein kinase Src  ,sp|P05480|SRC_MOUSE,P05480,Src,-0.07,0.799,-0.62,0.039,-0.41,0.39,-0.18,0.366,20779
Neutral alpha-glucosidase C  ,sp|Q8BVW0|GANC_MOUSE,Q8BVW0,Ganc,0.51,0.249,-0.07,0.068,0.25,0.321,0.29,0.065,76051
Neutrophil gelatinase-associated lipocalin  ,sp|P11672|NGAL_MOUSE,P11672,Lcn2,-0.56,0.271,-0.12,0.893,-0.87,0.032,-0.24,0.666,16819
NF-kappa-B essential modulator  ,sp|O88522|NEMO_MOUSE,O88522,Ikbkg,0.07,0.844,0.15,0.555,0.23,0.479,0.36,0.381,16151
"NFU1 iron-sulfur cluster scaffold homolog, mitochondrial  ",sp|Q9QZ23|NFU1_MOUSE,Q9QZ23,Nfu1,0.18,0.37,-0.11,0.812,0.14,0.578,0.29,0.208,56748
NFX1-type zinc finger-containing protein 1  ,sp|Q8R151|ZNFX1_MOUSE,Q8R151,Znfx1,0.23,0.258,-0.16,0.713,0.32,0.93,0.57,0.551,98999
NGFI-A-binding protein 1  ,sp|Q61122|NAB1_MOUSE,Q61122,Nab1,0.1,0.584,-0.57,0.294,0.21,0.366,0.12,0.856,17936
NGFI-A-binding protein 2  ,sp|Q61127|NAB2_MOUSE,Q61127,Nab2,0.19,0.371,0.25,0.309,0.08,0.842,0.33,0.79,17937
NHL repeat-containing protein 2  ,sp|Q8BZW8|NHLC2_MOUSE,Q8BZW8,Nhlrc2,0.35,0.198,0.4,0.258,0.1,0.08,-0.65,0.742,66866
NHL repeat-containing protein 3  ,sp|Q8CCH2|NHLC3_MOUSE,Q8CCH2,Nhlrc3,0.28,0.106,0.17,0.316,-0.22,0.285,-0.72,0.799,212114
Niban-like protein 1  ,sp|Q8R1F1|NIBL1_MOUSE,Q8R1F1,Fam129b,-0.17,0.532,-0.39,0.149,-0.36,0.636,-0.43,0.493,227737
Nibrin  ,sp|Q9R207|NBN_MOUSE,Q9R207,Nbn,0.14,0.419,-0.06,0.479,0.08,0.802,-0.09,0.628,27354
Nicalin  ,sp|Q8VCM8|NCLN_MOUSE,Q8VCM8,Ncln,0.02,0.932,-0.22,0.507,0.41,0.348,0.21,0.437,103425
Nicotinamide phosphoribosyltransferase  ,sp|Q99KQ4|NAMPT_MOUSE,Q99KQ4,Nampt,-0.26,0.427,-0.18,0.593,-0.09,0.967,0.07,0.355,59027
Nidogen-1  ,sp|P10493|NID1_MOUSE,P10493,Nid1,0.12,0.443,0.11,0.535,0.18,0.626,0.27,0.749,18073
Nidogen-2  ,sp|O88322|NID2_MOUSE,O88322,Nid2,0.93,0.09,0.88,0.08,0.71,0.46,0.9,0.687,18074
Niemann-Pick C1 protein  ,sp|O35604|NPC1_MOUSE,O35604,Npc1,-0.14,0.423,-0.2,0.077,-0.41,0.245,-0.72,0.194,18145
NIF3-like protein 1  ,sp|Q9EQ80|NIF3L_MOUSE,Q9EQ80,Nif3l1,-0.13,0.489,-0.09,0.776,0.03,0.618,0.12,0.842,65102
Nipped-B-like protein  ,sp|Q6KCD5|NIPBL_MOUSE,Q6KCD5,Nipbl,0.02,0.925,-0.01,0.603,0.32,0.456,0.2,0.837,71175
Nischarin  ,sp|Q80TM9|NISCH_MOUSE,Q80TM9,Nisch,-0.02,0.895,0.02,0.765,0.02,0.586,0.25,0.761,64652
Nitric oxide synthase-interacting protein  ,sp|Q9D6T0|NOSIP_MOUSE,Q9D6T0,Nosip,0.12,0.489,0.18,0.269,0.17,0.704,0.22,0.669,66394
NLR family member X1  ,sp|Q3TL44|NLRX1_MOUSE,Q3TL44,Nlrx1,-0.14,0.396,-0.28,0.413,0.08,0.645,0.21,0.776,270151
NmrA-like family domain-containing protein 1  ,sp|Q8K2T1|NMRL1_MOUSE,Q8K2T1,Nmral1,0,0.995,0.56,0.439,0.09,0.057,-0.04,0.04,67824
N-myc-interactor  ,sp|O35309|NMI_MOUSE,O35309,Nmi,0.45,0.071,0.19,0.634,-0.02,0.605,0.05,0.643,64685
Nodal modulator 1  ,sp|Q6GQT9|NOMO1_MOUSE,Q6GQT9,Nomo1,-0.09,0.706,0.03,0.739,-0.4,0.224,-0.59,0.515,211548
Non-POU domain-containing octamer-binding protein  ,sp|Q99K48|NONO_MOUSE,Q99K48,Nono,-0.1,0.548,0,0.937,-0.04,0.954,0.1,0.851,53610
Non-specific lipid-transfer protein  ,sp|P32020|NLTP_MOUSE,P32020,Scp2,-0.45,0.159,-0.55,0.138,0.3,0.776,0.49,0.875,20280
Notchless protein homolog 1  ,sp|Q8VEJ4|NLE1_MOUSE,Q8VEJ4,Nle1,0.14,0.638,-0.63,0.129,-0.54,0.683,-0.77,0.289,217011
NSFL1 cofactor p47  ,sp|Q9CZ44|NSF1C_MOUSE,Q9CZ44,Nsfl1c,0.05,0.774,-0.04,0.509,0.06,0.461,-0.3,0.276,386649
N-terminal kinase-like protein  ,sp|Q9EQC5|NTKL_MOUSE,Q9EQC5,Scyl1,-0.11,0.784,-0.51,0.226,0.83,0.274,0.79,0.273,78891
NTF2-related export protein 1  ,sp|Q9QZV9|NXT1_MOUSE,Q9QZV9,Nxt1,0.45,0.122,0.41,0.083,0.53,0.133,0.92,0.185,56488
NTF2-related export protein 2  ,sp|Q3UNA4|NXT2_MOUSE,Q3UNA4,Nxt2,0.1,0.632,0.22,0.556,0.12,0.788,0.29,0.601,237082
Nuclear autoantigenic sperm protein  ,sp|Q99MD9|NASP_MOUSE,Q99MD9,Nasp,-0.02,0.931,0.13,0.454,0.08,0.631,0.06,0.575,50927
Nuclear cap-binding protein subunit 1  ,sp|Q3UYV9|NCBP1_MOUSE,Q3UYV9,Ncbp1,0.34,0.099,0.52,0.035,-0.15,0.331,-0.33,0.194,433702
Nuclear cap-binding protein subunit 2  ,sp|Q9CQ49|NCBP2_MOUSE,Q9CQ49,Ncbp2,-0.08,0.772,0.38,0.529,0.03,0.354,-0.23,0.426,68092
Nuclear factor 1 B-type  ,sp|P97863|NFIB_MOUSE,P97863,Nfib,0.16,0.38,0.12,0.405,-0.47,0.72,-0.99,0.807,18028
Nuclear factor NF-kappa-B p100 subunit  ,sp|Q9WTK5|NFKB2_MOUSE,Q9WTK5,Nfkb2,-0.06,0.792,0.14,0.345,0.13,0.777,0.37,0.399,18034
Nuclear fragile X mental retardation-interacting protein 2  ,sp|Q5F2E7|NUFP2_MOUSE,Q5F2E7,Nufip2,0,0.992,0.21,0.438,0.29,0.406,0.45,0.513,68564
Nuclear inhibitor of protein phosphatase 1  ,sp|Q8R3G1|PP1R8_MOUSE,Q8R3G1,Ppp1r8,-0.13,0.54,-0.25,0.149,0.02,0.575,0.15,0.943,100336
Nuclear migration protein nudC  ,sp|O35685|NUDC_MOUSE,O35685,Nudc,0.08,0.793,0.29,0.755,-0.01,0.366,-0.25,0.989,18221
Nuclear pore complex protein Nup107  ,sp|Q8BH74|NU107_MOUSE,Q8BH74,Nup107,0.34,0.16,0.36,0.145,-0.17,0.92,-0.32,0.812,103468
Nuclear pore complex protein Nup133  ,sp|Q8R0G9|NU133_MOUSE,Q8R0G9,Nup133,0.23,0.261,0.08,0.548,0.39,0.331,0.39,0.506,234865
Nuclear pore complex protein Nup155  ,sp|Q99P88|NU155_MOUSE,Q99P88,Nup155,0.1,0.682,0.48,0.079,-0.04,0.585,-0.04,0.5,170762
Nuclear pore complex protein Nup160  ,sp|Q9Z0W3|NU160_MOUSE,Q9Z0W3,Nup160,0.07,0.678,0.09,0.527,-0.03,0.494,0.12,0.837,59015
Nuclear pore complex protein Nup214  ,sp|Q80U93|NU214_MOUSE,Q80U93,Nup214,-0.02,0.881,0.03,0.982,0.07,0.901,0.18,0.742,227720
Nuclear pore complex protein Nup50  ,sp|Q9JIH2|NUP50_MOUSE,Q9JIH2,Nup50,0.37,0.213,0.49,0.142,0.59,0.061,-0.11,0.759,18141
Nuclear pore complex protein Nup54  ,sp|Q8BTS4|NUP54_MOUSE,Q8BTS4,Nup54,-0.26,0.171,-0.1,0.973,-0.16,0.54,0.1,0.913,269113
Nuclear pore complex protein Nup85  ,sp|Q8R480|NUP85_MOUSE,Q8R480,Nup85,0.29,0.238,0.25,0.106,-0.07,0.969,-0.22,0.768,445007
